fecha,altitud,tmed,prec,tmin,horatmin,tmax,horatmax,dir,velmedia,racha,horaracha,sol,presmax,horapresmax,presmin,horapresmin,horaso2max_estacion29,horaso2max_estacion38,so2max_estacion38,target
239,254,1.8,0.0,0.6,25,3.1,53,12.0,1.7,4.2,42,0.0,1000.5,16,992.8,13,9,2,681.0,263.0
204,254,0.6,0.0,-0.7,41,2.0,33,33.0,1.9,6.7,66,0.0,994.9,18,992.4,18,23,2,687.0,249.0
419,254,4.1,0.0,-1.5,29,9.7,55,1.0,1.9,5.8,76,5.3,994.7,19,992.3,13,12,9,1129.0,344.0
398,254,6.3,0.0,-1.8,28,14.4,56,32.0,3.9,13.3,72,7.8,995.2,15,991.7,12,15,2,1179.0,335.0
228,254,7.9,0.0,3.8,25,12.0,24,31.0,8.3,19.7,55,7.8,996.5,7,991.6,15,15,2,67.0,258.0
530,254,4.4,0.0,-0.9,41,9.6,22,99.0,1.9,11.9,71,7.6,1000.0,18,996.5,10,4,9,1181.0,388.0
1585,254,3.0,0.0,-3.2,81,9.2,56,30.0,1.7,5.3,90,7.6,1000.6,14,998.3,12,10,17,1539.0,597.0
1636,254,4.6,0.0,-3.9,67,13.0,66,30.0,4.2,14.4,26,7.7,999.9,16,995.0,18,7,3,1066.0,683.0
405,254,9.1,0.0,5.9,74,12.3,56,31.0,6.9,14.7,138,7.7,996.7,19,990.7,15,1,3,702.0,336.0
282,254,10.2,0.0,7.8,37,12.5,21,35.0,8.1,18.9,72,0.9,990.8,16,983.8,5,16,11,597.0,284.0
194,254,12.0,0.0,7.4,64,16.6,56,32.0,6.7,16.9,121,6.2,994.2,4,986.3,10,6,16,435.0,245.0
542,254,12.6,0.0,8.6,72,16.5,21,30.0,2.2,10.8,69,4.2,994.0,14,986.8,18,15,2,816.0,398.0
271,254,7.7,0.0,4.1,33,11.3,6,32.0,8.9,18.6,18,5.3,993.6,14,987.4,9,17,11,361.0,278.0
227,254,6.0,0.0,3.4,74,8.5,24,32.0,7.5,16.9,99,7.5,996.3,3,993.0,0,1,3,373.0,258.0
13,254,7.4,0.0,4.3,27,10.4,58,32.0,8.1,18.6,3,6.6,995.5,16,992.8,17,20,7,37.0,24.0
176,254,10.4,0.0,8.1,36,12.6,27,32.0,8.6,22.2,104,6.4,992.8,16,987.4,17,20,11,335.0,237.0
313,254,4.0,0.0,-0.4,25,8.3,28,32.0,11.1,23.3,2,8.0,990.4,7,986.1,15,20,9,447.0,293.0
103,254,0.7,0.0,-2.1,67,3.5,22,32.0,5.0,16.7,41,8.0,993.6,8,990.2,9,1,9,585.0,156.0
1677,254,1.3,0.6,-3.0,67,5.6,40,31.0,2.8,8.3,99,6.5,994.4,15,990.9,13,5,9,968.0,769.0
90,254,2.5,0.4,0.6,74,4.4,55,28.0,2.8,8.3,8,0.0,992.5,19,990.0,13,12,9,645.0,134.0
127,254,5.5,0.0,0.9,67,10.1,56,28.0,2.5,9.7,137,6.8,991.1,20,986.9,13,17,9,843.0,184.0
140,254,6.2,0.0,3.0,38,9.4,26,31.0,4.4,13.3,53,1.7,988.5,18,985.8,3,22,3,534.0,198.0
144,254,8.2,0.0,4.3,68,12.2,40,32.0,6.9,15.6,92,6.3,990.5,14,986.8,5,10,3,488.0,203.0
365,254,8.4,0.0,4.7,25,12.1,56,32.0,8.1,18.6,52,8.2,992.5,19,989.9,0,7,9,525.0,317.0
474,254,4.4,0.0,-1.0,25,9.9,56,30.0,4.7,15.6,71,8.3,991.0,16,986.4,13,10,7,703.0,367.0
1752,254,2.4,0.0,-3.5,68,8.3,53,13.0,3.1,10.8,140,5.1,988.6,16,983.5,17,20,22,2046.0,1531.0
378,254,9.6,12.2,5.8,26,13.5,56,11.0,3.6,16.4,27,2.1,983.5,14,977.6,12,9,2,666.0,322.0
434,254,8.6,0.0,4.6,25,12.5,61,31.0,4.7,13.1,118,7.4,993.9,4,982.7,10,15,2,58.0,349.0
1742,254,8.2,0.0,2.9,28,13.5,56,23.0,2.2,6.9,146,5.5,994.6,15,991.0,13,17,9,7.0,1261.0
1562,254,11.2,0.0,6.3,62,16.1,66,16.0,2.2,5.8,36,5.1,992.2,16,987.9,17,12,6,1112.0,555.0
