altitud,tmed,prec,tmin,horatmin,tmax,horatmax,dir,velmedia,racha,horaracha,sol,presmax,horapresmax,presmin,horapresmin,horaso2max_estacion29,horaso2max_estacion38,so2max_estacion38,target
254,1.8,0.0,0.6,25,3.1,53,12.0,1.7,4.2,42,0.0,1000.5,16,992.8,13,16.0,13.0,681.0,263.0
254,0.6,0.0,-0.7,41,2.0,33,33.0,1.9,6.7,66,0.0,994.9,18,992.4,18,3.0,13.0,687.0,249.0
254,4.1,0.0,-1.5,29,9.7,55,1.0,1.9,5.8,76,5.3,994.7,19,992.3,13,20.0,19.0,1129.0,344.0
254,6.3,0.0,-1.8,28,14.4,56,32.0,3.9,13.3,72,7.8,995.2,15,991.7,12,13.0,13.0,1179.0,335.0
254,7.9,0.0,3.8,25,12.0,24,31.0,8.3,19.7,55,7.8,996.5,7,991.6,15,13.0,13.0,67.0,258.0
254,4.4,0.0,-0.9,41,9.6,22,99.0,1.9,11.9,71,7.6,1000.0,18,996.5,10,23.0,19.0,1181.0,388.0
254,3.0,0.0,-3.2,81,9.2,56,30.0,1.7,5.3,90,7.6,1000.6,14,998.3,12,19.0,1.0,1539.0,597.0
254,4.6,0.0,-3.9,67,13.0,66,30.0,4.2,14.4,26,7.7,999.9,16,995.0,18,18.0,12.0,1066.0,683.0
254,9.1,0.0,5.9,74,12.3,56,31.0,6.9,14.7,138,7.7,996.7,19,990.7,15,11.0,12.0,702.0,336.0
254,10.2,0.0,7.8,37,12.5,21,35.0,8.1,18.9,72,0.9,990.8,16,983.8,5,12.0,11.0,597.0,284.0
254,12.0,0.0,7.4,64,16.6,56,32.0,6.7,16.9,121,6.2,994.2,4,986.3,10,17.0,6.0,435.0,245.0
254,12.6,0.0,8.6,72,16.5,21,30.0,2.2,10.8,69,4.2,994.0,14,986.8,18,13.0,13.0,816.0,398.0
254,7.7,0.0,4.1,33,11.3,6,32.0,8.9,18.6,18,5.3,993.6,14,987.4,9,9.0,11.0,361.0,278.0
254,6.0,0.0,3.4,74,8.5,24,32.0,7.5,16.9,99,7.5,996.3,3,993.0,0,11.0,12.0,373.0,258.0
254,7.4,0.0,4.3,27,10.4,58,32.0,8.1,18.6,3,6.6,995.5,16,992.8,17,10.0,21.0,37.0,24.0
254,10.4,0.0,8.1,36,12.6,27,32.0,8.6,22.2,104,6.4,992.8,16,987.4,17,10.0,11.0,335.0,237.0
254,4.0,0.0,-0.4,25,8.3,28,32.0,11.1,23.3,2,8.0,990.4,7,986.1,15,10.0,19.0,447.0,293.0
254,0.7,0.0,-2.1,67,3.5,22,32.0,5.0,16.7,41,8.0,993.6,8,990.2,9,11.0,19.0,585.0,156.0
254,1.3,0.6,-3.0,67,5.6,40,31.0,2.8,8.3,99,6.5,994.4,15,990.9,13,8.0,19.0,968.0,769.0
254,2.5,0.4,0.6,74,4.4,55,28.0,2.8,8.3,8,0.0,992.5,19,990.0,13,20.0,19.0,645.0,134.0
254,5.5,0.0,0.9,67,10.1,56,28.0,2.5,9.7,137,6.8,991.1,20,986.9,13,9.0,19.0,843.0,184.0
254,6.2,0.0,3.0,38,9.4,26,31.0,4.4,13.3,53,1.7,988.5,18,985.8,3,5.0,12.0,534.0,198.0
254,8.2,0.0,4.3,68,12.2,40,32.0,6.9,15.6,92,6.3,990.5,14,986.8,5,19.0,12.0,488.0,203.0
254,8.4,0.0,4.7,25,12.1,56,32.0,8.1,18.6,52,8.2,992.5,19,989.9,0,18.0,19.0,525.0,317.0
254,4.4,0.0,-1.0,25,9.9,56,30.0,4.7,15.6,71,8.3,991.0,16,986.4,13,19.0,21.0,703.0,367.0
254,2.4,0.0,-3.5,68,8.3,53,13.0,3.1,10.8,140,5.1,988.6,16,983.5,17,10.0,10.0,2046.0,1531.0
254,9.6,12.2,5.8,26,13.5,56,11.0,3.6,16.4,27,2.1,983.5,14,977.6,12,16.0,13.0,666.0,322.0
254,8.6,0.0,4.6,25,12.5,61,31.0,4.7,13.1,118,7.4,993.9,4,982.7,10,13.0,13.0,58.0,349.0
254,8.2,0.0,2.9,28,13.5,56,23.0,2.2,6.9,146,5.5,994.6,15,991.0,13,9.0,19.0,7.0,1261.0
254,11.2,0.0,6.3,62,16.1,66,16.0,2.2,5.8,36,5.1,992.2,16,987.9,17,20.0,20.0,1112.0,555.0
254,10.7,0.0,4.4,62,17.0,67,14.0,1.4,6.4,53,8.5,987.9,14,984.9,13,21.0,18.0,928.0,624.0
254,8.9,0.2,4.4,37,13.4,66,29.843572241183164,3.463187748156539,12.327588168373143,71,2.9,988.1,19,984.4,13,3.0,3.0,848.0,578.0
254,9.2,8.0,7.6,64,10.9,69,28.0,3.1,13.9,115,0.0,985.7,14,978.6,13,20.0,20.0,751.0,311.0
254,10.8,0.6,6.0,70,15.6,37,99.0,2.8,15.3,51,0.9,985.7,16,979.8,17,18.0,18.0,762.0,393.0
254,12.8,6.0,9.9,46,15.6,39,29.0,4.2,15.0,123,0.2,983.4,19,977.8,7,13.0,13.0,956.0,407.0
254,10.4,0.2,7.1,0,13.8,13,31.0,8.3,19.7,21,4.7,992.1,7,976.2,7,1.0,0.0,317.0,21.0
254,10.5,0.0,6.9,49,14.1,20,30.0,6.1,15.3,24,4.8,993.4,9,990.2,18,9.0,12.0,417.0,246.0
254,10.9,0.0,6.9,25,14.9,12,30.0,4.4,13.9,133,4.0,991.9,4,988.7,12,8.0,8.0,446.0,275.0
254,7.2,0.0,4.3,81,10.0,12,33.0,8.1,21.1,46,6.9,994.5,4,991.5,10,9.0,12.0,387.0,214.0
254,9.1,0.0,4.9,77,13.3,69,30.0,3.9,13.1,139,8.7,994.4,16,983.7,17,21.0,20.0,1304.0,709.0
254,8.1,0.0,3.4,51,12.8,56,15.0,3.3,9.2,90,4.4,985.6,7,982.5,8,11.0,13.0,718.0,466.0
254,5.6,2.8,3.5,37,7.6,67,99.0,1.1,3.3,21,0.0,986.3,15,979.3,17,12.0,14.0,746.0,416.0
254,10.8,0.0,6.8,25,14.7,18,13.0,7.5,21.7,99,1.1,979.3,16,975.8,12,12.0,5.0,371.0,287.0
254,10.6,6.6,8.6,75,12.6,55,13.0,4.2,17.2,59,0.2,985.5,7,976.1,15,21.0,20.0,639.0,503.0
254,10.5,0.0,4.1,79,16.9,54,14.0,1.7,5.8,90,8.8,998.1,7,985.5,10,12.0,12.0,2298.0,1125.0
254,10.2,0.0,3.9,64,16.6,71,16.0,1.9,6.1,46,6.4,1002.3,14,998.1,10,11.0,1.0,2499.0,759.0
254,11.2,0.0,5.5,37,16.8,56,14.0,1.4,6.1,32,7.9,1002.3,14,998.7,15,11.0,7.0,1303.0,727.0
254,10.1,0.0,3.4,81,16.8,55,14.0,1.1,5.8,97,8.7,1000.1,16,994.0,15,20.0,4.0,877.0,698.0
254,9.5,0.0,2.9,62,16.1,69,14.0,1.7,4.7,29,8.5,994.3,16,988.5,13,12.0,13.0,996.0,67.0
254,10.0,0.0,5.3,76,14.6,61,29.0,1.4,7.2,126,7.5,997.9,19,991.8,10,0.0,20.0,556.0,623.0
254,10.4,0.0,5.9,74,14.8,55,32.0,2.8,9.7,12,9.0,997.4,14,994.0,18,21.0,20.0,652.0,461.0
254,9.5,0.0,3.1,69,15.9,32,28.0,1.7,8.3,85,9.2,996.4,14,992.2,18,21.0,19.0,695.0,466.0
254,10.4,0.0,2.6,74,18.3,59,14.0,1.7,5.3,73,9.2,993.7,11,988.8,18,21.0,20.0,1871.0,595.0
254,9.6,0.4,6.2,81,13.1,69,32.0,0.8,8.3,117,0.0,989.1,16,983.3,13,10.0,5.0,2869.0,1924.0
254,10.3,0.2,7.0,25,13.6,22,34.0,9.4,23.6,48,7.3,989.2,4,982.5,0,21.0,11.0,378.0,422.0
254,11.5,0.0,5.4,81,17.6,55,31.0,2.8,13.6,105,9.5,990.7,7,987.1,12,20.0,17.0,692.0,698.0
254,10.6,0.0,2.3,81,18.8,71,15.0,1.9,4.7,142,9.5,992.0,15,986.6,17,9.0,4.0,4712.0,1071.0
254,12.2,0.0,5.1,37,19.3,55,30.0,3.3,13.9,120,9.3,986.7,16,980.5,13,1.0,12.0,658.0,623.0
254,12.5,0.0,7.2,25,17.8,24,28.0,7.2,21.9,113,5.0,987.7,7,978.7,5,7.0,21.0,397.0,336.0
254,12.4,0.0,4.0,81,20.9,31,31.0,1.7,7.2,83,9.9,989.7,19,986.3,13,19.0,20.0,1353.0,849.0
254,13.2,0.0,5.7,74,20.7,54,15.0,1.4,7.5,144,9.5,990.2,15,984.4,17,20.0,4.0,179.0,719.0
254,12.4,22.0,7.1,33,17.6,34,14.0,4.7,17.5,90,5.1,984.4,16,967.9,18,2.0,12.0,594.0,52.0
254,9.8,0.0,5.8,7,13.9,53,27.0,4.4,17.2,70,9.3,981.9,7,969.1,9,19.0,19.0,533.0,435.0
254,11.2,0.0,6.3,82,16.0,56,28.0,1.9,11.4,88,1.7,989.4,6,981.8,1,10.0,0.0,1013.0,1126.0
254,15.2,0.9723706651506548,9.4,38,21.1,61,99.0,5.0,16.1,71,9.3,994.6,7,986.9,7,4.0,3.0,805.0,597.0
254,16.4,0.0,11.9,25,20.9,69,31.0,3.3,11.9,118,9.2,997.3,14,994.9,18,21.0,21.0,604.0,405.0
254,16.5,0.0,7.1,66,25.9,32,32.0,1.9,6.7,52,10.4,996.6,14,992.0,15,8.0,20.0,569.0,446.0
254,19.5,0.0,12.0,70,27.0,55,29.0,3.9,9.7,3,10.4,993.0,16,987.3,18,23.0,21.0,603.0,525.0
254,17.0,0.0,8.4,66,25.6,66,30.0,1.7,14.7,145,9.3,988.7,20,983.3,18,11.0,8.0,2964.0,2361.0
254,13.8,0.2,8.7,25,18.9,62,31.0,7.8,20.0,73,5.8,988.2,11,985.1,5,0.0,12.0,36.0,367.0
254,12.2,0.0,8.3,64,16.0,12,31.0,8.3,17.2,115,3.6,997.6,7,987.2,9,17.0,12.0,39.0,394.0
254,14.5,0.0,8.4,68,20.6,31,31.0,4.7,10.0,122,10.3,1000.3,15,995.8,18,19.0,19.0,436.0,443.0
254,14.9,0.0,8.3,81,21.5,31,29.0,2.8,9.7,130,10.6,998.4,20,993.5,15,21.0,21.0,864.0,635.0
254,13.9,0.0,5.9,81,21.9,66,15.0,3.1,9.2,135,10.7,994.6,16,989.9,15,1.0,3.0,5841.0,2556.0
254,14.3,0.0,5.4,64,23.2,56,17.0,0.8,5.6,78,10.7,993.3,14,989.7,18,2.0,3.0,2126.0,1084.0
254,15.3,0.0,9.1,64,21.5,55,30.0,4.7,12.8,27,10.6,993.0,14,988.3,18,23.0,12.0,389.0,422.0
254,16.0,0.0,9.3,68,22.7,25,30.0,2.5,9.4,122,10.8,989.8,16,983.9,15,20.0,20.0,694.0,39.0
254,15.8,0.0,9.2,74,22.4,33,99.0,3.1,13.9,71,10.8,985.6,14,981.7,18,10.0,11.0,36.0,415.0
254,13.1,0.0,9.0,48,17.2,32,31.0,5.8,14.4,136,7.2,986.5,14,983.0,13,8.0,20.0,299.0,382.0
254,11.6,0.2,6.0,63,17.1,40,28.0,4.2,16.1,61,2.9,986.0,20,976.3,18,15.0,19.0,634.0,523.0
254,9.3,0.6,4.7,64,13.9,61,29.0,3.3,13.9,103,9.2,982.8,7,978.4,13,20.0,20.0,412.0,488.0
254,9.2,0.8,4.3,81,14.0,40,32.0,1.9,9.7,124,4.5,986.6,19,981.9,14,15.0,7.0,576.0,548.0
254,8.1,7.4,6.4,74,9.8,67,1.0,3.1,13.3,34,0.0,986.9,7,979.8,0,21.0,21.0,47.0,547.0
254,11.8,1.2,6.0,68,17.5,56,14.0,3.6,11.1,92,8.2,988.1,15,983.6,18,19.0,11.0,303.0,429.0
254,12.4,1.8,8.9,85,16.0,18,99.0,1.9,8.3,71,4.4,993.8,7,985.0,10,15.0,12.0,599.0,587.0
